FeedRate,SpindleSpeed,DepthofCut,ratio_cut,Cut_X,Cut_Y,Cut_Z,Cut_XY,Cut_XYZ,Duration,Volumecut,cut_direct,cut_method
75.98552381,1502.104762,1,0.955163748,0,66.574,0,66.574,66.574,52.49,317.07,2,2
75.67027677,1502.178901,1,1.001506307,0,63.176,0,63.176,63.176,49.85,186.59,2,1
75.57342657,1501.973027,1,1.001661403,0,63.176,0,63.176,63.176,50.04,192.65,2,2
101.9726981,1502.6697,1,1.001661403,0,63.176,0,63.176,63.176,37.35,192.78,2,1
101.9727418,1502.856227,1,1.001661403,0,63.176,0,63.176,63.176,37.41,192.87,2,2
126.8615744,1502.822548,1,1.001582607,0,63.176,0,63.176,63.176,29.97,186.66,2,1
126.1419569,1503.056385,1,1.001661403,0,63.176,0,63.176,63.176,30.14,192.65,2,2
151.9387097,1503.21371,1,1.001661403,0,63.176,0,63.176,63.176,24.79,192.78,2,1
150.1279301,1502.567739,1,1.001661403,0,63.176,0,63.176,63.176,25.16,192.87,2,2
150.0721363,2998,1,1.001582607,0,63.176,0,63.176,63.176,25.22,186.66,2,1
151.9392971,2998,1,1.001661403,0,63.176,0,63.176,63.176,25.03,192.65,2,2
202.8917333,2998,1,1.001661403,0,63.176,0,63.176,63.176,18.74,192.78,2,1
200.6465563,2997.845168,1,1.001661403,0,63.176,0,63.176,63.176,18.72,192.87,2,2
247.2418087,2997.790301,1,1.001661403,0,63.176,0,63.176,63.176,15.25,192.98,2,1
253.4867725,2997.808201,1,1.001661403,0,63.176,0,63.176,63.176,15.11,186.77,2,2
302.1797932,2998,1,1.005496139,0,63.176,0,63.176,63.176,12.56,192.79,2,1
304.7520325,2998,1,1.001661403,0,63.176,0,63.176,63.176,12.29,192.87,2,2
304.7534357,2998,1,1.001661403,0,63.176,0,63.176,63.176,12.36,192.98,2,1
300.7192,2997.768,1,1.001661403,0,63.176,0,63.176,63.176,12.49,186.77,2,2
297.5183706,2998,1,0.946201931,0,63.176,0,63.176,63.176,12.51,83.01,2,1
75.98547678,2998,1,0.955163748,0,66.574,0,66.574,66.574,52.32,317.07,2,2
228.8612962,4500,1,1.001506307,0,63.176,0,63.176,63.176,16.5,186.59,2,1
228.8628743,4500,1,1.001661403,0,63.176,0,63.176,63.176,16.69,192.65,2,2
304.7577442,4500,1,1.001661403,0,63.176,0,63.176,63.176,12.58,192.78,2,1
297.7380952,4500,1,1.001661403,0,63.176,0,63.176,63.176,12.59,192.87,2,2
380.6186186,4500,1,1.001582607,0,63.176,0,63.176,63.176,9.98,186.66,2,1
369.3864307,4500,1,1.001661403,0,63.176,0,63.176,63.176,10.16,192.65,2,2
255.5148048,4500,1,1.001661403,0,63.176,0,63.176,63.176,14.85,192.78,2,1
254.9078062,4500,1,1.001661403,0,63.176,0,63.176,63.176,14.85,192.87,2,2
304.7558046,5999,1,1.001582607,0,63.176,0,63.176,63.176,12.48,186.66,2,1
298.1469898,5998.765442,1,1.001661403,0,63.176,0,63.176,63.176,12.78,192.65,2,2
406.5642398,5999,1,1.001661403,0,63.176,0,63.176,63.176,9.33,192.78,2,1
393.4191867,5998.676747,1,1.001661403,0,63.176,0,63.176,63.176,9.58,192.87,2,2
251.6207585,5998.807053,1,1.001661403,0,63.176,0,63.176,63.176,15.02,192.98,2,1
256.6269257,5998.785666,1,1.001661403,0,63.176,0,63.176,63.176,14.92,186.77,2,2
592.4126984,5998.52381,1,1.005496139,0,63.176,0,63.176,63.176,6.29,192.79,2,1
609.0208668,5999,1,1.001661403,0,63.176,0,63.176,63.176,6.22,192.87,2,2
609.0453834,5999,1,1.001661403,0,63.176,0,63.176,63.176,6.38,192.98,2,1
609.0177134,5998.549114,1,1.001661403,0,63.176,0,63.176,63.176,6.2,186.77,2,2
609.0224359,5999,1,0.946201931,0,63.176,0,63.176,63.176,6.23,83.01,2,1
75.98553758,5998.941009,1,0.955163748,0,66.574,0,66.574,66.574,52.54,317.07,2,2
75.81743651,1502.975205,1,1.001506307,0,63.176,0,63.176,63.176,50,186.59,2,1
75.96072144,1502.703407,1,1.001661403,0,63.176,0,63.176,63.176,49.89,192.65,2,2
101.9727346,1503.576316,1,1.001661403,0,63.176,0,63.176,63.176,37.4,192.78,2,1
101.9726174,1503.279195,1,1.001661403,0,63.176,0,63.176,63.176,37.24,192.87,2,2
126.9576243,1503.524525,1,1.001582607,0,63.176,0,63.176,63.176,29.96,186.66,2,1
126.9576101,1502.020694,1,1.001661403,0,63.176,0,63.176,63.176,29.95,192.65,2,2
151.9389313,1503.339092,1,1.001661403,0,63.176,0,63.176,63.176,24.88,192.78,2,1
150.1189621,1503.51497,1,1.001661403,0,63.176,0,63.176,63.176,25.04,192.87,2,2
228.8612962,4500,1,1.001582607,0,63.176,0,63.176,63.176,16.5,186.66,2,1
228.3083383,4500,1,1.001661403,0,63.176,0,63.176,63.176,16.66,192.65,2,2
304.756,4500,1,1.001661403,0,63.176,0,63.176,63.176,12.49,192.78,2,1
304.7565842,4500,1,1.001661403,0,63.176,0,63.176,63.176,12.52,192.87,2,2
376.8524752,4500,1,1.001661403,0,63.176,0,63.176,63.176,10.09,192.98,2,1
380.6128049,4500,1,1.001661403,0,63.176,0,63.176,63.176,9.83,186.77,2,2
256.2672011,4500,1,1.005496139,0,63.176,0,63.176,63.176,14.96,192.79,2,1
255.1095524,4500,1,1.001661403,0,63.176,0,63.176,63.176,14.96,192.87,2,2
256.8263514,4500,1,1.001661403,0,63.176,0,63.176,63.176,14.79,192.98,2,1
256.8270525,4500,1,1.001661403,0,63.176,0,63.176,63.176,14.85,186.77,2,2
252.5239703,4500,1,0.946201931,0,63.176,0,63.176,63.176,14.8,83.01,2,1
256.9123945,4500,1,0.955163748,0,66.574,0,66.574,66.574,15.4,317.07,2,2
151.9388576,2998,1,1.001506307,0,63.176,0,63.176,63.176,24.85,186.59,2,1
150.4391408,2997.884646,1,1.001661403,0,63.176,0,63.176,63.176,25.13,192.65,2,2
202.8922505,2998,1,1.001661403,0,63.176,0,63.176,63.176,18.83,192.78,2,1
202.8911528,2998,1,1.001661403,0,63.176,0,63.176,63.176,18.64,192.87,2,2
247.3372703,2997.80315,1,1.001582607,0,63.176,0,63.176,63.176,15.23,186.66,2,1
